Transaction_ID,Customer_ID,Customer_Name,Gender,Transaction_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Shipping_Address,Internal_Server_IP,Temporary_Session_Token,
TXN-1001,CUST-02,Siti Aminah,P,2024-02-02,Elektronik,Headphone Bluetooth,3,450000,1350000,COD,"Jl. Soekarno Hatta No. 1, Malang",192.168.1.1,tok_sess_abc123xyz_001,
TXN-1002,CUST-03,Joko Widodo,Perempuan,2024-02-03,E-L-E-K-T-R-O-N-I-K,Headphone Bluetooth,1,450000,450000,Credit Card,"Jl. Sudirman No. 2, Jakarta",192.168.1.2,tok_sess_abc123xyz_002,
TXN-1003,CUST-04,Dewi Lestari,Male,2024-02-04,Elektronik,Laptop ASUS Vivobook,1,8500000,8500000,COD,"Jl. Soekarno Hatta No. 3, Malang",192.168.1.3,tok_sess_abc123xyz_003,
TXN-1004,CUST-05,Rudi Hermawan,Perempuan,2024-02-05,Elektronik,Buku Pemrograman Python,2,120000,240000,credit_card,"Jl. Sudirman No. 4, Jakarta",192.168.1.4,tok_sess_abc123xyz_004,
TXN-1005,CUST-06,Andi Wijaya,,2024-02-06,Elektronik & Gadget,Buku Pemrograman Python,3,120000,360000,Transfer Bank,"Jl. Soekarno Hatta No. 5, Malang",192.168.1.5,tok_sess_abc123xyz_005,
TXN-1006,CUST-07,Rina Rose,Male,2024-02-07,Buku,Laptop ASUS Vivobook,4,8500000,34000000,Credit Card,"Jl. Sudirman No. 6, Jakarta",192.168.1.6,tok_sess_abc123xyz_006,
TXN-1007,CUST-08,budi santoso,P,2024-02-08,Buku,Kemeja Batik,4,150000,600000,,"Jl. Soekarno Hatta No. 7, Malang",192.168.1.7,tok_sess_abc123xyz_007,
TXN-1007,CUST-09,Eka Putri,L,2024-02-09,Pakaian,Kaos Polos Cotton,2,75000,150000,Credit Card,"Jl. Sudirman No. 8, Jakarta",192.168.1.8,tok_sess_abc123xyz_008,
TXN-1009,CUST-10,Maya Sari,Laki-laki,2024-02-10,elektronik,Kemeja Batik,5,150000,750000,COD,"Jl. Soekarno Hatta No. 9, Malang",192.168.1.9,tok_sess_abc123xyz_009,
TXN-1010,CUST-01,Budi Santoso,Perempuan,15/01/2024,Fashion,Kaos Polos Cotton,4,75000,300000,Credit Card,"Jl. Sudirman No. 10, Jakarta",192.168.1.10,tok_sess_abc123xyz_010,
TXN-1011,CUST-02,siti aminah,Male,2024-02-12,E-L-E-K-T-R-O-N-I-K,Laptop ASUS Vivobook,2,8500000,17000000,E-Wallet,"Jl. Soekarno Hatta No. 11, Malang",192.168.1.11,tok_sess_abc123xyz_011,
TXN-1012,,Joko Widodo,Perempuan,2024-02-13,E-L-E-K-T-R-O-N-I-K,Kemeja Batik,2,150000,300000,transfer_bank,"Jl. Sudirman No. 12, Jakarta",192.168.1.12,tok_sess_abc123xyz_012,
TXN-1013,CUST-04,dewi lestari,Male,2024-02-14,Elektronik,Kemeja Batik,3,150000,450000,E_Wallet,"Jl. Soekarno Hatta No. 13, Malang",192.168.1.13,tok_sess_abc123xyz_013,
TXN-1014,CUST-05,Rudi Hermawan,Female,2024-02-15,elektronik,Smartphone Samsung Galaxy,-2,3500000,-7000000,Credit Card,"Jl. Sudirman No. 14, Jakarta",192.168.1.14,tok_sess_abc123xyz_014,
TXN-1014,CUST-06,Andi Wijaya,P,2024-02-16,elektronik,Headphone Bluetooth,3,450000,1350000,credit_card,"Jl. Soekarno Hatta No. 15, Malang",192.168.1.15,tok_sess_abc123xyz_015,
TXN-1016,CUST-07,rina rose,L,2024-02-17,Elektronik & Gadget,Kaos Polos Cotton,3,75000,225000,Credit Card,"Jl. Sudirman No. 16, Jakarta",192.168.1.16,tok_sess_abc123xyz_016,
TXN-1017,CUST-08,Ahmad Hidayat,Perempuan,2024-02-18,Elektronik & Gadget,Buku Pemrograman Python,1,120000,120000,Gopay,"Jl. Soekarno Hatta No. 17, Malang",192.168.1.17,tok_sess_abc123xyz_017,
TXN-1018,CUST-09,eka putri,Perempuan,2024-02-19,Fashion,Laptop ASUS Vivobook,1,Rp 8.500.000,8500000,credit_card,"Jl. Sudirman No. 18, Jakarta",192.168.1.18,tok_sess_abc123xyz_018,
TXN-1019,CUST-10,maya sari,Perempuan,2024-02-20,Buku,Headphone Bluetooth,1,450000,450000,Gopay,192.168.1.19,tok_sess_abc123xyz_019,,
TXN-1020,CUST-01,Budi Santoso,Perempuan,Jan 20,2024,Buku,Kaos Polos Cotton,4,75000,300000,Credit Card,"Jl. Sudirman No. 20, Jakarta",192.168.1.20,tok_sess_abc123xyz_020
TXN-1021,CUST-02,siti aminah,Perempuan,2024-02-22,FASHION,Headphone Bluetooth,4,450000,1800000,Transfer Bank,"Jl. Soekarno Hatta No. 21, Malang",192.168.1.21,tok_sess_abc123xyz_021,
TXN-1022,CUST-03,joko widodo,Male,2024-02-23,Pakaian,Smartphone Samsung Galaxy,2,3500000,7000000,transfer_bank,"Jl. Sudirman No. 22, Jakarta",192.168.1.22,tok_sess_abc123xyz_022,
TXN-1023,CUST-04,"Ahmad Hidayat, S.Kom.",L,2024-02-24,Elektronik,Kemeja Batik,4,150000,600000,COD,"Jl. Soekarno Hatta No. 23, Malang",192.168.1.23,tok_sess_abc123xyz_023,
TXN-1024,CUST-05,Rudi Hermawan,L,2024-02-25,E-L-E-K-T-R-O-N-I-K,Laptop ASUS Vivobook,3,8500000,25500000,Credit Card,"Jl. Sudirman No. 24, Jakarta",192.168.1.24,tok_sess_abc123xyz_024,
TXN-1025,CUST-06,Andi Wijaya,Female,2024-02-26,elektronik,Laptop ASUS Vivobook,4,8500000,34000000,Gopay,"Jl. Soekarno Hatta No. 25, Malang",192.168.1.25,tok_sess_abc123xyz_025,
TXN-1026,CUST-07,rina rose,Laki-laki,2024-02-27,elektronik,Buku Pemrograman Python,1,120000,120000,E-Wallet,"Jl. Sudirman No. 26, Jakarta",192.168.1.26,tok_sess_abc123xyz_026,
TXN-1027,CUST-08,Ahmad Hidayat,P,2024-02-28,Fashion,Kemeja Batik,5,150000,1250000,transfer_bank,"Jl. Soekarno Hatta No. 27, Malang",192.168.1.27,tok_sess_abc123xyz_027,
TXN-1028,CUST-09,eka putri,Female,2024-02-01,elektronik,Laptop ASUS Vivobook,1,8500000,8500000,transfer_bank,"Jl. Sudirman No. 28, Jakarta",192.168.1.28,tok_sess_abc123xyz_028,
TXN-1029,CUST-10,Maya Sari,Female,2024-02-02,Elektronik,Kaos Polos Cotton,2,75000,150000,transfer_bank,"Jl. Soekarno Hatta No. 29, Malang",192.168.1.29,tok_sess_abc123xyz_029,
TXN-1029,CUST-01,Budi Santoso,Male,2024-02-03,Fashion,Headphone Bluetooth,2,450000,900000,E_Wallet,"Jl. Sudirman No. 30, Jakarta",192.168.1.30,tok_sess_abc123xyz_030,
TXN-1031,CUST-02,Siti Aminah,L,2024-02-04,Elektronik,Smartphone Samsung Galaxy,2,3500000,7000000,E-Wallet,"Jl. Soekarno Hatta No. 31, Malang",192.168.1.31,tok_sess_abc123xyz_031,
TXN-1032,CUST-03,joko widodo,P,2024-02-05,Pakaian,Kaos Polos Cotton,3,75000,225000,Gopay,"Jl. Sudirman No. 32, Jakarta",192.168.1.32,tok_sess_abc123xyz_032,
TXN-1033,CUST-04,Dewi Lestari,L,2024-02-06,Fashion,Kaos Polos Cotton,0,75000,0,E_Wallet,"Jl. Soekarno Hatta No. 33, Malang",192.168.1.33,tok_sess_abc123xyz_033,
TXN-1034,CUST-05,Rudi Hermawan,Perempuan,2024-02-07,Elektronik & Gadget,Buku Pemrograman Python,1,120000,120000,E-Wallet,"Jl. Sudirman No. 34, Jakarta",192.168.1.34,tok_sess_abc123xyz_034,
TXN-1035,CUST-06,Andi Wijaya,Male,2024-02-08,Pakaian,Smartphone Samsung Galaxy,4,-500000,-2000000,credit_card,"Jl. Soekarno Hatta No. 35, Malang",192.168.1.35,tok_sess_abc123xyz_035,
TXN-1036,CUST-07,rina rose,P,2024-02-09,elektronik,Laptop ASUS Vivobook,5,8500000,42500000,transfer_bank,"Jl. Sudirman No. 36, Jakarta",192.168.1.36,tok_sess_abc123xyz_036,
TXN-1037,CUST-08,Ahmad Hidayat,Perempuan,2024-02-10,Pakaian,Kemeja Batik,4,150000,600000,Gopay,"Jl. Soekarno Hatta No. 37, Malang",192.168.1.37,tok_sess_abc123xyz_037,
TXN-1038,CUST-09,eka putri,L,2024-02-11,Buku,Kaos Polos Cotton,4,75000,300000,Gopay,"Jl. Sudirman No. 38, Jakarta",192.168.1.38,tok_sess_abc123xyz_038,
TXN-1039,CUST-10,Maya Sari,Laki-laki,2024-02-12,E-L-E-K-T-R-O-N-I-K,Laptop ASUS Vivobook,4,8500000,34000000,transfer_bank,"Jl. Soekarno Hatta No. 39, Malang",192.168.1.39,tok_sess_abc123xyz_039,
TXN-1040,CUST-01,15/01/2024,Laki-laki,Budi Santoso,FASHION,Kaos Polos Cotton,5,75000,375000,transfer_bank,"Jl. Sudirman No. 40, Jakarta",192.168.1.40,tok_sess_abc123xyz_040,
TXN-1041,CUST-02,siti aminah,Male,2024-02-14,E-L-E-K-T-R-O-N-I-K,Headphone Bluetooth,3,450000,1350000,credit_card,"Jl. Soekarno Hatta No. 41, Malang",192.168.1.41,tok_sess_abc123xyz_041,
TXN-1042,CUST-03,Joko Widodo,Female,2024-02-15,Pakaian,Headphone Bluetooth,2,450000,900000,E-Wallet,"Jl. Sudirman No. 42, Jakarta",192.168.1.42,tok_sess_abc123xyz_042,
TXN-1043,CUST-04,dewi lestari,Male,2024-02-16,E-L-E-K-T-R-O-N-I-K,Kaos Polos Cotton,4,75000,300000,E_Wallet,"Jl. Soekarno Hatta No. 43, Malang",192.168.1.43,tok_sess_abc123xyz_043,
TXN-1044,CUST-05,  Rudi Hermawan ,Female,2024-02-17,Elektronik,Kemeja Batik,4,150000,600000,Transfer Bank,"Jl. Sudirman No. 44, Jakarta",192.168.1.44,tok_sess_abc123xyz_044,
